Areaname,STCOU,LND010190F,LND010190D,LND010190N1,LND010190N2,LND010200F,LND010200D,LND010200N1,LND010200N2,LND110180F,LND110180D,LND110180N1,LND110180N2,LND110190F,LND110190D,LND110190N1,LND110190N2,LND110200F,LND110200D,LND110200N1,LND110200N2,LND110210F,LND110210D,LND110210N1,LND110210N2,LND210190F,LND210190D,LND210190N1,LND210190N2,LND210200F,LND210200D,LND210200N1,LND210200N2
"Stark, IL",17175,0,288.23,0,0,0,288.21,0,0,0,287.68,0,0,0,287.94,0,0,0,287.94,0,0,0,288.08,0,0,0,0.29,0,0,0,0.28,0,0
"Stephenson, IL",17177,0,564.78,0,0,0,564.72,0,0,0,564.45,0,0,0,564.28,0,0,0,564.18,0,0,0,564.52,0,0,0,0.5,0,0,0,0.54,0,0
"Tazewell, IL",17179,0,657.94,0,0,0,657.89,0,0,0,649.87,0,0,0,648.91,0,0,0,648.86,0,0,0,648.97,0,0,0,9.03,0,0,0,9.03,0,0
"Union, IL",17181,0,422.15,0,0,0,422.13,0,0,0,414.21,0,0,0,416.19,0,0,0,416.16,0,0,0,413.46,0,0,0,5.96,0,0,0,5.97,0,0
"Vermilion, IL",17183,0,902.18,0,0,0,902.14,0,0,0,900.01,0,0,0,899.13,0,0,0,899.08,0,0,0,898.37,0,0,0,3.05,0,0,0,3.06,0,0
"Wabash, IL",17185,0,227.78,0,0,0,227.76,0,0,0,223.63,0,0,0,223.49,0,0,0,223.47,0,0,0,223.25,0,0,0,4.29,0,0,0,4.29,0,0
"Warren, IL",17187,0,543.21,0,0,0,543.17,0,0,0,542.8,0,0,0,542.57,0,0,0,542.52,0,0,0,542.41,0,0,0,0.64,0,0,0,0.65,0,0
"Washington, IL",17189,0,564.15,0,0,0,564.12,0,0,0,563.31,0,0,0,562.65,0,0,0,562.61,0,0,0,562.57,0,0,0,1.5,0,0,0,1.51,0,0
"Wayne, IL",17191,0,715.6,0,0,0,715.56,0,0,0,714.91,0,0,0,713.94,0,0,0,713.9,0,0,0,713.81,0,0,0,1.66,0,0,0,1.66,0,0
"White, IL",17193,0,501.72,0,0,0,501.7,0,0,0,497.32,0,0,0,494.94,0,0,0,494.87,0,0,0,494.77,0,0,0,6.78,0,0,0,6.83,0,0
"Whiteside, IL",17195,0,697.06,0,0,0,697.01,0,0,0,682.02,0,0,0,684.82,0,0,0,684.77,0,0,0,684.25,0,0,0,12.24,0,0,0,12.24,0,0
"Will, IL",17197,0,849.45,0,0,0,849.39,0,0,0,843.83,0,0,0,837.26,0,0,0,836.94,0,0,0,836.91,0,0,0,12.19,0,0,0,12.45,0,0
"Williamson, IL",17199,0,444.4,0,0,0,444.38,0,0,0,426.76,0,0,0,424.17,0,0,0,423.41,0,0,0,420.15,0,0,0,20.23,0,0,0,20.96,0,0
"Winnebago, IL",17201,0,519.33,0,0,0,519.27,0,0,0,515.61,0,0,0,513.84,0,0,0,513.74,0,0,0,513.36,0,0,0,5.49,0,0,0,5.54,0,0
"Woodford, IL",17203,0,542.78,0,0,0,542.74,0,0,0,527.49,0,0,0,528.04,0,0,0,527.95,0,0,0,527.8,0,0,0,14.74,0,0,0,14.79,0,0
INDIANA,18000,0,36420.09,0,0,0,36417.73,0,0,0,35932.03,0,0,0,35870.18,0,0,0,35866.9,0,0,0,35826.11,0,0,0,549.91,0,0,0,550.83,0,0
"Adams, IN",18001,0,339.95,0,0,0,339.93,0,0,0,339.86,0,0,0,339.37,0,0,0,339.36,0,0,0,339.03,0,0,0,0.58,0,0,0,0.57,0,0
"Allen, IN",18003,0,660.14,0,0,0,660.1,0,0,0,658.7,0,0,0,657.29,0,0,0,657.25,0,0,0,657.31,0,0,0,2.85,0,0,0,2.85,0,0
"Bartholomew, IN",18005,0,409.38,0,0,0,409.36,0,0,0,408.75,0,0,0,406.86,0,0,0,406.84,0,0,0,406.91,0,0,0,2.52,0,0,0,2.52,0,0
"Benton, IN",18007,0,406.42,0,0,0,406.4,0,0,0,406.62,0,0,0,406.33,0,0,0,406.31,0,0,0,406.42,0,0,0,0.09,0,0,0,0.09,0,0
"Blackford, IN",18009,0,165.42,0,0,0,165.4,0,0,0,165.66,0,0,0,165.12,0,0,0,165.1,0,0,0,165.08,0,0,0,0.3,0,0,0,0.31,0,0
"Boone, IN",18011,0,423.31,0,0,0,423.28,0,0,0,423.37,0,0,0,422.75,0,0,0,422.85,0,0,0,422.91,0,0,0,0.56,0,0,0,0.42,0,0
"Brown, IN",18013,0,316.65,0,0,0,316.62,0,0,0,311.59,0,0,0,312.29,0,0,0,312.26,0,0,0,311.98,0,0,0,4.36,0,0,0,4.36,0,0
"Carroll, IN",18015,0,375.06,0,0,0,375.05,0,0,0,372.09,0,0,0,372.26,0,0,0,372.26,0,0,0,372.22,0,0,0,2.8,0,0,0,2.8,0,0
"Cass, IN",18017,0,414.95,0,0,0,414.92,0,0,0,414.25,0,0,0,412.89,0,0,0,412.87,0,0,0,412.16,0,0,0,2.06,0,0,0,2.06,0,0
"Clark, IN",18019,0,376.23,0,0,0,376.2,0,0,0,375.85,0,0,0,375.17,0,0,0,375.04,0,0,0,372.86,0,0,0,1.06,0,0,0,1.16,0,0
"Clay, IN",18021,0,360.42,0,0,0,360.39,0,0,0,360.24,0,0,0,357.65,0,0,0,357.62,0,0,0,357.54,0,0,0,2.77,0,0,0,2.78,0,0
"Clinton, IN",18023,0,405.3,0,0,0,405.28,0,0,0,405.11,0,0,0,405.12,0,0,0,405.1,0,0,0,405.07,0,0,0,0.18,0,0,0,0.18,0,0
"Crawford, IN",18025,0,308.87,0,0,0,308.85,0,0,0,306.72,0,0,0,305.7,0,0,0,305.68,0,0,0,305.64,0,0,0,3.17,0,0,0,3.17,0,0
"Daviess, IN",18027,0,436.89,0,0,0,436.86,0,0,0,432.31,0,0,0,430.75,0,0,0,430.66,0,0,0,429.49,0,0,0,6.14,0,0,0,6.2,0,0
"Dearborn, IN",18029,0,307.08,0,0,0,307.05,0,0,0,307.41,0,0,0,305.24,0,0,0,305.21,0,0,0,305.03,0,0,0,1.84,0,0,0,1.84,0,0
"Decatur, IN",18031,0,373.44,0,0,0,373.42,0,0,0,372.76,0,0,0,372.63,0,0,0,372.6,0,0,0,372.57,0,0,0,0.81,0,0,0,0.81,0,0
"DeKalb, IN",18033,0,363.87,0,0,0,363.84,0,0,0,363.7,0,0,0,362.91,0,0,0,362.88,0,0,0,362.82,0,0,0,0.96,0,0,0,0.97,0,0
"Delaware, IN",18035,0,395.95,0,0,0,395.92,0,0,0,391.83,0,0,0,393.32,0,0,0,393.29,0,0,0,392.12,0,0,0,2.63,0,0,0,2.63,0,0
"Dubois, IN",18037,0,435.25,0,0,0,435.23,0,0,0,429.4,0,0,0,430.11,0,0,0,430.09,0,0,0,427.27,0,0,0,5.14,0,0,0,5.14,0,0
"Elkhart, IN",18039,0,467.87,0,0,0,467.85,0,0,0,466.08,0,0,0,463.84,0,0,0,463.81,0,0,0,463.17,0,0,0,4.03,0,0,0,4.03,0,0
"Fayette, IN",18041,0,215.14,0,0,0,215.12,0,0,0,215.43,0,0,0,214.99,0,0,0,214.96,0,0,0,215.01,0,0,0,0.15,0,0,0,0.16,0,0
"Floyd, IN",18043,0,148.33,0,0,0,148.31,0,0,0,149.63,0,0,0,148.02,0,0,0,148,0,0,0,147.94,0,0,0,0.31,0,0,0,0.31,0,0
"Fountain, IN",18045,0,397.95,0,0,0,397.92,0,0,0,397.95,0,0,0,395.72,0,0,0,395.69,0,0,0,395.66,0,0,0,2.23,0,0,0,2.23,0,0
"Franklin, IN",18047,0,391.36,0,0,0,391.34,0,0,0,385.2,0,0,0,386.03,0,0,0,386,0,0,0,384.43,0,0,0,5.33,0,0,0,5.33,0,0
"Fulton, IN",18049,0,371.39,0,0,0,371.37,0,0,0,369.22,0,0,0,368.52,0,0,0,368.51,0,0,0,368.39,0,0,0,2.87,0,0,0,2.87,0,0
"Gibson, IN",18051,0,499.08,0,0,0,499.05,0,0,0,489.7,0,0,0,488.86,0,0,0,488.78,0,0,0,487.49,0,0,0,10.22,0,0,0,10.27,0,0
"Grant, IN",18053,0,414.84,0,0,0,414.83,0,0,0,414.86,0,0,0,414.03,0,0,0,414.03,0,0,0,414.07,0,0,0,0.81,0,0,0,0.81,0,0
"Greene, IN",18055,0,545.95,0,0,0,545.91,0,0,0,545.81,0,0,0,542.14,0,0,0,541.73,0,0,0,542.5,0,0,0,3.81,0,0,0,4.18,0,0
"Hamilton, IN",18057,0,402.75,0,0,0,402.73,0,0,0,398.49,0,0,0,398.02,0,0,0,397.94,0,0,0,394.27,0,0,0,4.73,0,0,0,4.79,0,0
"Hancock, IN",18059,0,306.75,0,0,0,306.73,0,0,0,307.02,0,0,0,306.18,0,0,0,306.12,0,0,0,306.02,0,0,0,0.57,0,0,0,0.61,0,0
"Harrison, IN",18061,0,486.91,0,0,0,486.88,0,0,0,486.02,0,0,0,485.25,0,0,0,485.22,0,0,0,484.52,0,0,0,1.66,0,0,0,1.66,0,0
"Hendricks, IN",18063,0,408.9,0,0,0,408.88,0,0,0,408.85,0,0,0,408.42,0,0,0,408.39,0,0,0,406.91,0,0,0,0.48,0,0,0,0.48,0,0
"Henry, IN",18065,0,394.93,0,0,0,394.9,0,0,0,394.39,0,0,0,392.96,0,0,0,392.93,0,0,0,391.88,0,0,0,1.97,0,0,0,1.97,0,0
"Howard, IN",18067,0,293.94,0,0,0,293.93,0,0,0,293.05,0,0,0,293.08,0,0,0,293.07,0,0,0,293.06,0,0,0,0.86,0,0,0,0.86,0,0
"Huntington, IN",18069,0,387.95,0,0,0,387.94,0,0,0,366.15,0,0,0,382.6,0,0,0,382.59,0,0,0,382.65,0,0,0,5.35,0,0,0,5.35,0,0
"Jackson, IN",18071,0,513.79,0,0,0,513.75,0,0,0,513.32,0,0,0,509.35,0,0,0,509.31,0,0,0,509.31,0,0,0,4.44,0,0,0,4.44,0,0
"Jasper, IN",18073,0,561.26,0,0,0,561.22,0,0,0,561.44,0,0,0,559.9,0,0,0,559.87,0,0,0,559.63,0,0,0,1.36,0,0,0,1.36,0,0
"Jay, IN",18075,0,383.84,0,0,0,383.82,0,0,0,384.04,0,0,0,383.66,0,0,0,383.64,0,0,0,383.91,0,0,0,0.18,0,0,0,0.18,0,0
"Jefferson, IN",18077,0,362.97,0,0,0,362.94,0,0,0,362.63,0,0,0,361.39,0,0,0,361.37,0,0,0,360.63,0,0,0,1.58,0,0,0,1.58,0,0
"Jennings, IN",18079,0,378.38,0,0,0,378.35,0,0,0,378.25,0,0,0,377.25,0,0,0,377.22,0,0,0,376.58,0,0,0,1.13,0,0,0,1.13,0,0
"Johnson, IN",18081,0,321.58,0,0,0,321.56,0,0,0,321.38,0,0,0,320.22,0,0,0,320.19,0,0,0,320.43,0,0,0,1.36,0,0,0,1.36,0,0
"Knox, IN",18083,0,524.08,0,0,0,524.06,0,0,0,519.6,0,0,0,515.86,0,0,0,515.83,0,0,0,516.03,0,0,0,8.22,0,0,0,8.22,0,0
"Kosciusko, IN",18085,0,554.36,0,0,0,554.34,0,0,0,539.66,0,0,0,537.52,0,0,0,537.5,0,0,0,531.38,0,0,0,16.84,0,0,0,16.84,0,0
"LaGrange, IN",18087,0,386.73,0,0,0,386.72,0,0,0,379.94,0,0,0,379.58,0,0,0,379.56,0,0,0,379.62,0,0,0,7.15,0,0,0,7.15,0,0
"Lake, IN",18089,0,626.38,0,0,0,626.34,0,0,0,500.9,0,0,0,497.03,0,0,0,496.98,0,0,0,498.96,0,0,0,129.35,0,0,0,129.36,0,0
"LaPorte, IN",18091,0,613.09,0,0,0,613.04,0,0,0,600.4,0,0,0,598.28,0,0,0,598.24,0,0,0,598.3,0,0,0,14.81,0,0,0,14.8,0,0
"Lawrence, IN",18093,0,452.1,0,0,0,452.07,0,0,0,452.08,0,0,0,448.87,0,0,0,448.83,0,0,0,449.17,0,0,0,3.23,0,0,0,3.24,0,0
"Madison, IN",18095,0,452.94,0,0,0,452.91,0,0,0,452.83,0,0,0,452.16,0,0,0,452.13,0,0,0,451.92,0,0,0,0.78,0,0,0,0.78,0,0
"Marion, IN",18097,0,403.11,0,0,0,403.04,0,0,0,396.01,0,0,0,396.41,0,0,0,396.25,0,0,0,396.3,0,0,0,6.7,0,0,0,6.79,0,0
"Marshall, IN",18099,0,449.95,0,0,0,449.92,0,0,0,444.22,0,0,0,444.3,0,0,0,444.27,0,0,0,443.63,0,0,0,5.65,0,0,0,5.65,0,0
"Martin, IN",18101,0,340.55,0,0,0,340.53,0,0,0,338.73,0,0,0,336.16,0,0,0,336.14,0,0,0,335.74,0,0,0,4.39,0,0,0,4.39,0,0
"Miami, IN",18103,0,377.38,0,0,0,377.36,0,0,0,369.28,0,0,0,375.76,0,0,0,375.62,0,0,0,373.84,0,0,0,1.62,0,0,0,1.74,0,0
"Monroe, IN",18105,0,411.34,0,0,0,411.32,0,0,0,384.66,0,0,0,394.37,0,0,0,394.35,0,0,0,394.51,0,0,0,16.97,0,0,0,16.97,0,0
"Montgomery, IN",18107,0,505.39,0,0,0,505.34,0,0,0,504.86,0,0,0,504.58,0,0,0,504.51,0,0,0,504.61,0,0,0,0.81,0,0,0,0.83,0,0
"Morgan, IN",18109,0,409.41,0,0,0,409.39,0,0,0,409.24,0,0,0,406.49,0,0,0,406.47,0,0,0,403.97,0,0,0,2.92,0,0,0,2.92,0,0
"Newton, IN",18111,0,403.56,0,0,0,403.53,0,0,0,400.91,0,0,0,401.88,0,0,0,401.85,0,0,0,401.76,0,0,0,1.68,0,0,0,1.68,0,0
"Noble, IN",18113,0,417.63,0,0,0,417.61,0,0,0,412.59,0,0,0,411.13,0,0,0,411.11,0,0,0,410.84,0,0,0,6.5,0,0,0,6.5,0,0
"Ohio, IN",18115,0,87.48,0,0,0,87.47,0,0,0,87.18,0,0,0,86.73,0,0,0,86.72,0,0,0,86.14,0,0,0,0.75,0,0,0,0.75,0,0
"Orange, IN",18117,0,408.23,0,0,0,408.2,0,0,0,408.18,0,0,0,399.55,0,0,0,399.52,0,0,0,398.39,0,0,0,8.68,0,0,0,8.68,0,0
"Owen, IN",18119,0,387.85,0,0,0,387.83,0,0,0,386.35,0,0,0,385.21,0,0,0,385.18,0,0,0,385.29,0,0,0,2.64,0,0,0,2.65,0,0
"Parke, IN",18121,0,450.12,0,0,0,450.1,0,0,0,443.55,0,0,0,444.82,0,0,0,444.77,0,0,0,444.66,0,0,0,5.3,0,0,0,5.32,0,0
"Perry, IN",18123,0,386.36,0,0,0,386.34,0,0,0,381.53,0,0,0,381.41,0,0,0,381.39,0,0,0,381.73,0,0,0,4.95,0,0,0,4.95,0,0
"Pike, IN",18125,0,341.1,0,0,0,341.08,0,0,0,340.83,0,0,0,336.19,0,0,0,336.18,0,0,0,334.24,0,0,0,4.91,0,0,0,4.91,0,0
"Porter, IN",18127,0,521.64,0,0,0,521.61,0,0,0,418.48,0,0,0,418.21,0,0,0,418.11,0,0,0,418.15,0,0,0,103.43,0,0,0,103.5,0,0
"Posey, IN",18129,0,419.47,0,0,0,419.45,0,0,0,409.46,0,0,0,408.52,0,0,0,408.5,0,0,0,409.57,0,0,0,10.95,0,0,0,10.95,0,0
"Pulaski, IN",18131,0,434.59,0,0,0,434.57,0,0,0,434.54,0,0,0,433.7,0,0,0,433.68,0,0,0,433.65,0,0,0,0.89,0,0,0,0.89,0,0
"Putnam, IN",18133,0,482.61,0,0,0,482.58,0,0,0,481.88,0,0,0,480.34,0,0,0,480.31,0,0,0,480.53,0,0,0,2.27,0,0,0,2.27,0,0
"Randolph, IN",18135,0,453.27,0,0,0,453.23,0,0,0,453.52,0,0,0,452.91,0,0,0,452.83,0,0,0,452.38,0,0,0,0.36,0,0,0,0.39,0,0
"Ripley, IN",18137,0,447.95,0,0,0,447.91,0,0,0,447.18,0,0,0,446.4,0,0,0,446.36,0,0,0,446.43,0,0,0,1.55,0,0,0,1.55,0,0
"Rush, IN",18139,0,408.65,0,0,0,408.62,0,0,0,408.23,0,0,0,408.34,0,0,0,408.28,0,0,0,408.12,0,0,0,0.31,0,0,0,0.34,0,0
"St. Joseph, IN",18141,0,460.97,0,0,0,460.97,0,0,0,459.09,0,0,0,457.34,0,0,0,457.34,0,0,0,457.85,0,0,0,3.63,0,0,0,3.63,0,0
"Scott, IN",18143,0,192.74,0,0,0,192.73,0,0,0,191.47,0,0,0,190.4,0,0,0,190.39,0,0,0,190.4,0,0,0,2.34,0,0,0,2.34,0,0
"Shelby, IN",18145,0,413.14,0,0,0,413.11,0,0,0,412.52,0,0,0,412.67,0,0,0,412.64,0,0,0,411.15,0,0,0,0.47,0,0,0,0.47,0,0
"Spencer, IN",18147,0,401.26,0,0,0,401.23,0,0,0,400.15,0,0,0,398.72,0,0,0,398.69,0,0,0,396.74,0,0,0,2.54,0,0,0,2.55,0,0
"Starke, IN",18149,0,312.33,0,0,0,312.31,0,0,0,309.43,0,0,0,309.33,0,0,0,309.31,0,0,0,309.13,0,0,0,3,0,0,0,3,0,0
"Steuben, IN",18151,0,322.5,0,0,0,322.48,0,0,0,307.96,0,0,0,308.74,0,0,0,308.72,0,0,0,308.94,0,0,0,13.76,0,0,0,13.76,0,0
"Sullivan, IN",18153,0,454.08,0,0,0,454.04,0,0,0,452.25,0,0,0,447.23,0,0,0,447.2,0,0,0,447.14,0,0,0,6.85,0,0,0,6.85,0,0
"Switzerland, IN",18155,0,223.54,0,0,0,223.52,0,0,0,223.42,0,0,0,221.2,0,0,0,221.18,0,0,0,220.63,0,0,0,2.34,0,0,0,2.34,0,0
"Tippecanoe, IN",18157,0,503.12,0,0,0,503.07,0,0,0,501.69,0,0,0,499.84,0,0,0,499.79,0,0,0,499.81,0,0,0,3.28,0,0,0,3.28,0,0
"Tipton, IN",18159,0,260.43,0,0,0,260.41,0,0,0,260.44,0,0,0,260.41,0,0,0,260.39,0,0,0,260.54,0,0,0,0.02,0,0,0,0.02,0,0
"Union, IN",18161,0,165.26,0,0,0,165.25,0,0,0,162.49,0,0,0,161.56,0,0,0,161.55,0,0,0,161.22,0,0,0,3.7,0,0,0,3.7,0,0
"Vanderburgh, IN",18163,0,235.76,0,0,0,235.74,0,0,0,236.07,0,0,0,234.59,0,0,0,234.57,0,0,0,233.48,0,0,0,1.17,0,0,0,1.16,0,0
"Vermillion, IN",18165,0,259.95,0,0,0,259.94,0,0,0,260.02,0,0,0,256.9,0,0,0,256.89,0,0,0,256.88,0,0,0,3.05,0,0,0,3.05,0,0
"Vigo, IN",18167,0,410.5,0,0,0,410.47,0,0,0,405.17,0,0,0,403.33,0,0,0,403.29,0,0,0,403.31,0,0,0,7.17,0,0,0,7.17,0,0
"Wabash, IN",18169,0,421.1,0,0,0,421.07,0,0,0,398.3,0,0,0,413.2,0,0,0,413.17,0,0,0,412.43,0,0,0,7.9,0,0,0,7.9,0,0
"Warren, IN",18171,0,366.63,0,0,0,366.6,0,0,0,366.27,0,0,0,364.91,0,0,0,364.88,0,0,0,364.68,0,0,0,1.72,0,0,0,1.72,0,0
"Warrick, IN",18173,0,390.87,0,0,0,390.86,0,0,0,391.26,0,0,0,384.08,0,0,0,384.07,0,0,0,384.82,0,0,0,6.79,0,0,0,6.79,0,0
"Washington, IN",18175,0,516.57,0,0,0,516.53,0,0,0,515.89,0,0,0,514.45,0,0,0,514.42,0,0,0,513.73,0,0,0,2.12,0,0,0,2.12,0,0
"Wayne, IN",18177,0,404.38,0,0,0,404.34,0,0,0,403.92,0,0,0,403.58,0,0,0,403.57,0,0,0,401.74,0,0,0,0.8,0,0,0,0.78,0,0
"Wells, IN",18179,0,370.43,0,0,0,370.41,0,0,0,370.2,0,0,0,369.98,0,0,0,369.96,0,0,0,368.09,0,0,0,0.45,0,0,0,0.45,0,0
"White, IN",18181,0,508.82,0,0,0,508.8,0,0,0,506.35,0,0,0,505.25,0,0,0,505.24,0,0,0,505.13,0,0,0,3.57,0,0,0,3.56,0,0
"Whitley, IN",18183,0,337.91,0,0,0,337.9,0,0,0,335.72,0,0,0,335.53,0,0,0,335.52,0,0,0,335.57,0,0,0,2.38,0,0,0,2.38,0,0
IOWA,19000,0,56275.54,0,0,0,56271.55,0,0,0,55965.37,0,0,0,55874.9,0,0,0,55869.36,0,0,0,55857.13,0,0,0,400.64,0,0,0,402.2,0,0
"Adair, IA",19001,0,570.33,0,0,0,570.31,0,0,0,569.64,0,0,0,569.33,0,0,0,569.3,0,0,0,569.27,0,0,0,1,0,0,0,1,0,0
"Adams, IA",19003,0,425.42,0,0,0,425.41,0,0,0,424.95,0,0,0,423.55,0,0,0,423.54,0,0,0,423.44,0,0,0,1.87,0,0,0,1.87,0,0
"Allamakee, IA",19005,0,658.75,0,0,0,658.71,0,0,0,633.37,0,0,0,639.6,0,0,0,639.56,0,0,0,639.08,0,0,0,19.15,0,0,0,19.14,0,0
"Appanoose, IA",19007,0,516.39,0,0,0,516.35,0,0,0,497.7,0,0,0,496.28,0,0,0,496.25,0,0,0,497.29,0,0,0,20.11,0,0,0,20.1,0,0
"Audubon, IA",19009,0,443.6,0,0,0,443.58,0,0,0,444.47,0,0,0,443.16,0,0,0,443.13,0,0,0,442.96,0,0,0,0.44,0,0,0,0.44,0,0
"Benton, IA",19011,0,718.52,0,0,0,718.45,0,0,0,718.33,0,0,0,716.46,0,0,0,716.39,0,0,0,716.27,0,0,0,2.06,0,0,0,2.06,0,0
"Black Hawk, IA",19013,0,571.96,0,0,0,571.91,0,0,0,572.79,0,0,0,567.37,0,0,0,567.11,0,0,0,565.77,0,0,0,4.59,0,0,0,4.8,0,0
"Boone, IA",19015,0,573.54,0,0,0,573.51,0,0,0,573.49,0,0,0,571.49,0,0,0,571.46,0,0,0,571.57,0,0,0,2.05,0,0,0,2.05,0,0
"Bremer, IA",19017,0,439.64,0,0,0,439.6,0,0,0,439.22,0,0,0,437.94,0,0,0,437.9,0,0,0,435.48,0,0,0,1.7,0,0,0,1.7,0,0
"Buchanan, IA",19019,0,573.38,0,0,0,573.35,0,0,0,572.23,0,0,0,571.29,0,0,0,571.26,0,0,0,571.02,0,0,0,2.09,0,0,0,2.09,0,0
"Buena Vista, IA",19021,0,580.1,0,0,0,580.07,0,0,0,574.72,0,0,0,574.82,0,0,0,574.78,0,0,0,574.92,0,0,0,5.28,0,0,0,5.28,0,0
"Butler, IA",19023,0,581.6,0,0,0,581.56,0,0,0,581.79,0,0,0,580.42,0,0,0,580.38,0,0,0,580.13,0,0,0,1.18,0,0,0,1.18,0,0
"Calhoun, IA",19025,0,572.33,0,0,0,572.29,0,0,0,571.27,0,0,0,570.2,0,0,0,570.15,0,0,0,569.97,0,0,0,2.13,0,0,0,2.14,0,0
"Carroll, IA",19027,0,570.27,0,0,0,570.24,0,0,0,569.98,0,0,0,569.35,0,0,0,569.31,0,0,0,569.44,0,0,0,0.92,0,0,0,0.92,0,0
"Cass, IA",19029,0,565.03,0,0,0,565.01,0,0,0,564.92,0,0,0,564.35,0,0,0,564.33,0,0,0,564.27,0,0,0,0.68,0,0,0,0.68,0,0
"Cedar, IA",19031,0,582.01,0,0,0,581.96,0,0,0,582.33,0,0,0,579.57,0,0,0,579.52,0,0,0,579.44,0,0,0,2.44,0,0,0,2.44,0,0
"Cerro Gordo, IA",19033,0,575.18,0,0,0,575.12,0,0,0,569.41,0,0,0,568.43,0,0,0,568.33,0,0,0,568.31,0,0,0,6.75,0,0,0,6.8,0,0
"Cherokee, IA",19035,0,577.38,0,0,0,577.34,0,0,0,577.1,0,0,0,577.2,0,0,0,577.15,0,0,0,576.91,0,0,0,0.18,0,0,0,0.18,0,0
"Chickasaw, IA",19037,0,505.53,0,0,0,505.48,0,0,0,504.53,0,0,0,504.7,0,0,0,504.64,0,0,0,504.38,0,0,0,0.83,0,0,0,0.84,0,0
"Clarke, IA",19039,0,431.75,0,0,0,431.72,0,0,0,430.99,0,0,0,431.15,0,0,0,431.12,0,0,0,431.17,0,0,0,0.6,0,0,0,0.6,0,0
"Clay, IA",19041,0,572.56,0,0,0,572.51,0,0,0,568.6,0,0,0,568.93,0,0,0,568.89,0,0,0,567.24,0,0,0,3.63,0,0,0,3.63,0,0
"Clayton, IA",19043,0,792.85,0,0,0,792.81,0,0,0,778.52,0,0,0,778.85,0,0,0,778.81,0,0,0,778.54,0,0,0,14,0,0,0,14,0,0
"Clinton, IA",19045,0,710.26,0,0,0,710.19,0,0,0,694.95,0,0,0,695.05,0,0,0,694.98,0,0,0,694.92,0,0,0,15.21,0,0,0,15.21,0,0
"Crawford, IA",19047,0,715.04,0,0,0,714.99,0,0,0,714.45,0,0,0,714.41,0,0,0,714.36,0,0,0,714.19,0,0,0,0.63,0,0,0,0.63,0,0
"Dallas, IA",19049,0,591.77,0,0,0,591.73,0,0,0,590.77,0,0,0,586.51,0,0,0,586.47,0,0,0,588.45,0,0,0,5.26,0,0,0,5.26,0,0
"Davis, IA",19051,0,504.93,0,0,0,504.89,0,0,0,503.97,0,0,0,503.28,0,0,0,503.24,0,0,0,502.19,0,0,0,1.65,0,0,0,1.65,0,0
"Decatur, IA",19053,0,533.36,0,0,0,533.32,0,0,0,535.13,0,0,0,532.25,0,0,0,531.8,0,0,0,531.88,0,0,0,1.11,0,0,0,1.52,0,0
"Delaware, IA",19055,0,579.08,0,0,0,579.05,0,0,0,577.95,0,0,0,577.88,0,0,0,577.85,0,0,0,577.76,0,0,0,1.2,0,0,0,1.19,0,0
"Des Moines, IA",19057,0,429.83,0,0,0,429.8,0,0,0,414,0,0,0,416.18,0,0,0,416.15,0,0,0,416.12,0,0,0,13.65,0,0,0,13.65,0,0
"Dickinson, IA",19059,0,403.71,0,0,0,403.69,0,0,0,380.59,0,0,0,381.07,0,0,0,381.06,0,0,0,380.61,0,0,0,22.64,0,0,0,22.63,0,0
"Dubuque, IA",19061,0,616.63,0,0,0,616.56,0,0,0,606.67,0,0,0,608.22,0,0,0,608.16,0,0,0,608.31,0,0,0,8.41,0,0,0,8.41,0,0
"Emmet, IA",19063,0,402.4,0,0,0,402.38,0,0,0,393.79,0,0,0,395.77,0,0,0,395.74,0,0,0,395.88,0,0,0,6.63,0,0,0,6.63,0,0
"Fayette, IA",19065,0,731.47,0,0,0,731.45,0,0,0,731.28,0,0,0,730.98,0,0,0,730.92,0,0,0,730.81,0,0,0,0.49,0,0,0,0.52,0,0
"Floyd, IA",19067,0,501.33,0,0,0,501.31,0,0,0,501.36,0,0,0,500.59,0,0,0,500.56,0,0,0,500.63,0,0,0,0.74,0,0,0,0.74,0,0
"Franklin, IA",19069,0,583.06,0,0,0,583.01,0,0,0,582.59,0,0,0,582.49,0,0,0,582.44,0,0,0,581.97,0,0,0,0.57,0,0,0,0.57,0,0
"Fremont, IA",19071,0,516.79,0,0,0,516.76,0,0,0,514.85,0,0,0,511.32,0,0,0,511.08,0,0,0,511.15,0,0,0,5.47,0,0,0,5.68,0,0
"Greene, IA",19073,0,571.16,0,0,0,571.13,0,0,0,571.3,0,0,0,568.44,0,0,0,568.41,0,0,0,569.57,0,0,0,2.72,0,0,0,2.72,0,0
"Grundy, IA",19075,0,502.58,0,0,0,502.55,0,0,0,501.3,0,0,0,502.55,0,0,0,502.51,0,0,0,501.86,0,0,0,0.03,0,0,0,0.03,0,0
"Guthrie, IA",19077,0,593.09,0,0,0,593.06,0,0,0,590.25,0,0,0,590.63,0,0,0,590.6,0,0,0,590.62,0,0,0,2.46,0,0,0,2.46,0,0
"Hamilton, IA",19079,0,577.47,0,0,0,577.44,0,0,0,576.3,0,0,0,576.71,0,0,0,576.68,0,0,0,576.75,0,0,0,0.76,0,0,0,0.76,0,0
"Hancock, IA",19081,0,573.18,0,0,0,573.14,0,0,0,571.02,0,0,0,571.15,0,0,0,571.11,0,0,0,571.01,0,0,0,2.03,0,0,0,2.03,0,0
